OBJECTID,IDTRAMO,FECHAACTUAL,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
76,4_336333_146__308_I,20150709,4,336333,071,7a,2,1,146,,308,8,TI,I,GUZMAN EL BUENO,28,079,MADRID,A,Calle de Guzmán el Bueno N 118,20070507,20070505,,1123.902,27.77,4,93,225,,,4__7_A____2_IT_1_4_146__308_TI_I_8,,,,4__7_A__,4__7_A____2_IT_1,4_146,4_146_,4_146_308
77,4_336332_147__309_I,20150709,4,336332,071,7a,1,1,147,,309,17,TI,I,FRANCOS RODRIGUEZ,28,079,MADRID,A,Avda de Pablo Iglesias N 87,20070507,20070505,,1124.824,27.77,4,93,215,,,4__7_A____1_IT_1_4_147__309_TI_I_17,,,,4__7_A__,4__7_A____1_IT_1,4_147,4_147_,4_147_309
78,4_336333_147__310_I,20150709,4,336333,071,7a,2,1,147,,310,7,TI,I,FRANCOS RODRIGUEZ,28,079,MADRID,A,Avda de Pablo Iglesias N 87,20070507,20070505,,1210.813,27.77,4,93,215,,,4__7_A____2_IT_1_4_147__310_TI_I_7,,,,4__7_A__,4__7_A____2_IT_1,4_147,4_147_,4_147_310
79,4_336332_149__313_I,20150709,4,336332,071,7a,1,1,149,,313,19,TI,I,ANTONIO MACHADO,28,079,MADRID,A,Calle de Valderrodrigo N 55,20070507,20070505,,886.558,27.77,4,93,139,,,4__7_A____1_IT_1_4_149__313_TI_I_19,,,,4__7_A__,4__7_A____1_IT_1,4_149,4_149_,4_149_313
80,4_336333_149__314_I,20150709,4,336333,071,7a,2,1,149,,314,5,TI,I,ANTONIO MACHADO,28,079,MADRID,A,Calle de Valderrodrigo N 55,20070507,20070505,,660.992,27.77,4,93,139,,,4__7_A____2_IT_1_4_149__314_TI_I_5,,,,4__7_A__,4__7_A____2_IT_1,4_149,4_149_,4_149_314
81,4_336332_150__315_I,20150709,4,336332,071,7a,1,1,150,,315,20,TI,I,PEÑAGRANDE,28,079,MADRID,A,Cmno de Ganapanes N 35,20070507,20070505,,655.011,27.77,4,93,296,,,4__7_A____1_IT_1_4_150__315_TI_I_20,,,,4__7_A__,4__7_A____1_IT_1,4_150,4_150_,4_150_315
82,4_336333_150__316_I,20150709,4,336333,071,7a,2,1,150,,316,4,TI,I,PEÑAGRANDE,28,079,MADRID,A,Cmno de Ganapanes N 35,20070507,20070505,,550.938,27.77,4,93,296,,,4__7_A____2_IT_1_4_150__316_TI_I_4,,,,4__7_A__,4__7_A____2_IT_1,4_150,4_150_,4_150_316
83,4_336332_152__319_I,20150709,4,336332,071,7a,1,1,152,,319,22,TI,I,LACOMA,28,079,MADRID,A,Calle de Riscos de Polanco N 3,20070507,20070505,,679.682,27.77,4,93,253,,,4__7_A____1_IT_1_4_152__319_TI_I_22,,,,4__7_A__,4__7_A____1_IT_1,4_152,4_152_,4_152_319
84,4_336333_152__320_I,20150709,4,336333,071,7a,2,1,152,,320,2,TI,I,LACOMA,28,079,MADRID,A,Calle de Riscos de Polanco N 3,20070507,20070505,,1270.80016785791,27.77,4,93,253,,,4__7_A____2_IT_1_4_152__320_TI_I_2,,,,4__7_A__,4__7_A____2_IT_1,4_152,4_152_,4_152_320
85,4_336332_154__323_T,20150709,4,336332,071,7a,1,1,154,,323,23,TI,T,PITIS,28,079,MADRID,A,Ctra a la Estación de Pitis N 19,20070507,20070505,,1276.08922075483,27.77,4,93,86,,,4__7_A____1_IT_1_4_154__323_TI_T_23,,,,4__7_A__,4__7_A____1_IT_1,4_154,4_154_,4_154_323
86,4_336414_27__58_I,20150709,4,336414,001,1,1,1,27,,58,30,TI,I,CONGOSTO,28,079,MADRID,A,Calle del Congosto N 48,20070516,20070516,,804.115683007007,22.96,4,93,176,,,4__1_____1_IT_1_4_27__58_TI_I_30,,,,4__1___,4__1_____1_IT_1,4_27,4_27_,4_27_58
87,4_336415_27__59_I,20150709,4,336415,001,1,2,1,27,,59,4,TI,I,CONGOSTO,28,079,MADRID,A,Calle del Congosto N 48,20070516,20070516,,601.331659011156,22.96,4,93,176,,,4__1_____2_IT_1_4_27__59_TI_I_4,,,,4__1___,4__1_____2_IT_1,4_27,4_27_,4_27_59
88,4_335631_74__152_I,20150709,4,335631,005,5,1,1,74,,152,3,TI,I,CANILLEJAS,28,079,MADRID,A,Calle de Alcalá N 631,20061123,20061124,,1419.7351,23.38,4,91,6,,,4__5_____1_IT_1_4_74__152_TI_I_3,,,,4__5___,4__5_____1_IT_1,4_74,4_74_,4_74_152
89,4_335632_74__153_I,20150709,4,335632,005,5,2,1,74,,153,30,TI,I,CANILLEJAS,28,079,MADRID,A,Calle de Alcalá N 631,20061123,20061124,,983.497,23.38,4,91,6,,,4__5_____2_IT_1_4_74__153_TI_I_30,,,,4__5___,4__5_____2_IT_1,4_74,4_74_,4_74_153
90,4_335631_75__154_I,20150709,4,335631,005,5,1,1,75,,154,4,TI,I,TORRE ARIAS,28,079,MADRID,A,Calle de Alcalá N 557,20061123,20061124,,985.045,23.38,4,93,350,,,4__5_____1_IT_1_4_75__154_TI_I_4,,,,4__5___,4__5_____1_IT_1,4_75,4_75_,4_75_154
91,4_335632_75__155_I,20150709,4,335632,005,5,2,1,75,,155,29,TI,I,TORRE ARIAS,28,079,MADRID,A,Calle de Alcalá N 557,20061123,20061124,,784.431,23.38,4,93,350,,,4__5_____2_IT_1_4_75__155_TI_I_29,,,,4__5___,4__5_____2_IT_1,4_75,4_75_,4_75_155
92,4_335631_76__156_I,20150709,4,335631,005,5,1,1,76,,156,5,TI,I,SUANZES,28,079,MADRID,A,Calle de Alcalá N 527,20061123,20061124,,785.008,23.38,4,93,347,,,4__5_____1_IT_1_4_76__156_TI_I_5,,,,4__5___,4__5_____1_IT_1,4_76,4_76_,4_76_156
93,4_335632_76__157_I,20150709,4,335632,005,5,2,1,76,,157,28,TI,I,SUANZES,28,079,MADRID,A,Calle de Alcalá N 527,20061123,20061124,,943.435,23.38,4,93,347,,,4__5_____2_IT_1_4_76__157_TI_I_28,,,,4__5___,4__5_____2_IT_1,4_76,4_76_,4_76_157
94,4_335631_77__158_I,20150709,4,335631,005,5,1,1,77,,158,6,TI,I,CIUDAD LINEAL,28,079,MADRID,A,Calle de Arturo Soria N 2,20061123,20061124,,943.039,23.38,4,91,7,,,4__5_____1_IT_1_4_77__158_TI_I_6,,,,4__5___,4__5_____1_IT_1,4_77,4_77_,4_77_158
95,4_335632_77__159_I,20150709,4,335632,005,5,2,1,77,,159,27,TI,I,CIUDAD LINEAL,28,079,MADRID,A,Calle de Arturo Soria N 2,20061123,20061124,,540.268,23.38,4,91,7,,,4__5_____2_IT_1_4_77__159_TI_I_27,,,,4__5___,4__5_____2_IT_1,4_77,4_77_,4_77_159
96,4_335631_78__160_I,20150709,4,335631,005,5,1,1,78,,160,7,TI,I,PUEBLO NUEVO,28,079,MADRID,A,Calle de Alcalá N 372,20061123,20061124,,539.239,23.38,4,93,305,,,4__5_____1_IT_1_4_78__160_TI_I_7,,,,4__5___,4__5_____1_IT_1,4_78,4_78_,4_78_160
97,4_335632_78__161_I,20150709,4,335632,005,5,2,1,78,,161,26,TI,I,PUEBLO NUEVO,28,079,MADRID,A,Calle de Alcalá N 372,20061123,20061124,,529.166,23.38,4,93,305,,,4__5_____2_IT_1_4_78__161_TI_I_26,,,,4__5___,4__5_____2_IT_1,4_78,4_78_,4_78_161
98,4_335631_79__162_I,20150709,4,335631,005,5,1,1,79,,162,8,TI,I,QUINTANA,28,079,MADRID,A,Calle de la Virgen del Sagrario N 2,20061123,20061124,,530.192,23.38,4,93,310,,,4__5_____1_IT_1_4_79__162_TI_I_8,,,,4__5___,4__5_____1_IT_1,4_79,4_79_,4_79_162
99,4_335632_79__163_I,20150709,4,335632,005,5,2,1,79,,163,25,TI,I,QUINTANA,28,079,MADRID,A,Calle de la Virgen del Sagrario N 2,20061123,20061124,,713.243,23.38,4,93,310,,,4__5_____2_IT_1_4_79__163_TI_I_25,,,,4__5___,4__5_____2_IT_1,4_79,4_79_,4_79_163
100,4_335631_80__164_I,20150709,4,335631,005,5,1,1,80,,164,9,TI,I,EL CARMEN,28,079,MADRID,A,Calle de Raquel Méller N 2,20061123,20061124,,713.966,23.38,4,93,203,,,4__5_____1_IT_1_4_80__164_TI_I_9,,,,4__5___,4__5_____1_IT_1,4_80,4_80_,4_80_164
101,4_335632_80__165_I,20150709,4,335632,005,5,2,1,80,,165,24,TI,I,EL CARMEN,28,079,MADRID,A,Calle de Raquel Méller N 2,20061123,20061124,,694.314,23.38,4,93,203,,,4__5_____2_IT_1_4_80__165_TI_I_24,,,,4__5___,4__5_____2_IT_1,4_80,4_80_,4_80_165
102,4_335631_81__166_I,20150709,4,335631,005,5,1,1,81,,166,10,TI,I,VENTAS,28,079,MADRID,A,Calle de Alcalá N 204,20061123,20061124,,697.93,23.38,4,93,367,,,4__5_____1_IT_1_4_81__166_TI_I_10,,,,4__5___,4__5_____1_IT_1,4_81,4_81_,4_81_166
103,4_335632_81__167_I,20150709,4,335632,005,5,2,1,81,,167,23,TI,I,VENTAS,28,079,MADRID,A,Calle de Alcalá N 204,20061123,20061124,,877.005,23.38,4,93,367,,,4__5_____2_IT_1_4_81__167_TI_I_23,,,,4__5___,4__5_____2_IT_1,4_81,4_81_,4_81_167
104,4_335631_83__170_I,20150709,4,335631,005,5,1,1,83,,170,12,TI,I,NUÑEZ DE BALBOA,28,079,MADRID,A,Calle de Juan Bravo N 20,20061123,20061124,,669.974,23.38,4,93,283,,,4__5_____1_IT_1_4_83__170_TI_I_12,,,,4__5___,4__5_____1_IT_1,4_83,4_83_,4_83_170
105,4_335632_83__171_I,20150709,4,335632,005,5,2,1,83,,171,21,TI,I,NUÑEZ DE BALBOA,28,079,MADRID,A,Calle de Juan Bravo N 20,20061123,20061124,,668.393,23.38,4,93,283,,,4__5_____2_IT_1_4_83__171_TI_I_21,,,,4__5___,4__5_____2_IT_1,4_83,4_83_,4_83_171
106,4_335631_84__172_I,20150709,4,335631,005,5,1,1,84,,172,13,TI,I,RUBEN DARIO,28,079,MADRID,A,Paseo de Eduardo Dato N 33,20061123,20061124,,667.161,23.38,4,93,323,,,4__5_____1_IT_1_4_84__172_TI_I_13,,,,4__5___,4__5_____1_IT_1,4_84,4_84_,4_84_172
107,4_335632_84__173_I,20150709,4,335632,005,5,2,1,84,,173,20,TI,I,RUBEN DARIO,28,079,MADRID,A,Paseo de Eduardo Dato N 33,20061123,20061124,,704.856,23.38,4,93,323,,,4__5_____2_IT_1_4_84__173_TI_I_20,,,,4__5___,4__5_____2_IT_1,4_84,4_84_,4_84_173
108,4_335631_85__174_I,20150709,4,335631,005,5,1,1,85,,174,14,TI,I,ALONSO MARTINEZ,28,079,MADRID,A,Calle de Almagro N 4,20061123,20061124,,700.584,23.38,4,92,133,,,4__5_____1_IT_1_4_85__174_TI_I_14,,,,4__5___,4__5_____1_IT_1,4_85,4_85_,4_85_174
109,4_335632_85__175_I,20150709,4,335632,005,5,2,1,85,,175,19,TI,I,ALONSO MARTINEZ,28,079,MADRID,A,Calle de Almagro N 4,20061123,20061124,,713.881,23.38,4,92,133,,,4__5_____2_IT_1_4_85__175_TI_I_19,,,,4__5___,4__5_____2_IT_1,4_85,4_85_,4_85_175
110,4_335631_86__176_I,20150709,4,335631,005,5,1,1,86,,176,15,TI,I,CHUECA,28,079,MADRID,A,Plaza de Chueca N 7,20061123,20061124,,712.497,23.38,4,93,170,,,4__5_____1_IT_1_4_86__176_TI_I_15,,,,4__5___,4__5_____1_IT_1,4_86,4_86_,4_86_176
111,4_335632_86__177_I,20150709,4,335632,005,5,2,1,86,,177,18,TI,I,CHUECA,28,079,MADRID,A,Plaza de Chueca N 7,20061123,20061124,,463.803,23.38,4,93,170,,,4__5_____2_IT_1_4_86__177_TI_I_18,,,,4__5___,4__5_____2_IT_1,4_86,4_86_,4_86_177
112,4_335631_87__178_I,20150709,4,335631,005,5,1,1,87,,178,16,TI,I,GRAN VIA,28,079,MADRID,A,Calle   Gran Vía N 23,20061123,20061124,,469.881,23.38,4,93,222,,,4__5_____1_IT_1_4_87__178_TI_I_16,,,,4__5___,4__5_____1_IT_1,4_87,4_87_,4_87_178
113,4_335632_87__179_I,20150709,4,335632,005,5,2,1,87,,179,17,TI,I,GRAN VIA,28,079,MADRID,A,Calle   Gran Vía N 23,20061123,20061124,,342.979,23.38,4,93,222,,,4__5_____2_IT_1_4_87__179_TI_I_17,,,,4__5___,4__5_____2_IT_1,4_87,4_87_,4_87_179
114,4_336230_44__92_I,20150709,4,336230,003,3,1,1,44,,92,9,TI,I,DELICIAS,28,079,MADRID,A,Paseo de las Delicias N 60,20070419,20070421,,738.111558332,24.99,4,92,181,,,4__3_____1_IT_1_4_44__92_TI_I_9,,,,4__3___,4__3_____1_IT_1,4_44,4_44_,4_44_92
115,4_336231_44__93_I,20150709,4,336231,003,3,2,1,44,,93,10,TI,I,DELICIAS,28,079,MADRID,A,Paseo de las Delicias N 60,20070419,20070421,,539.501809962922,24.99,4,92,181,,,4__3_____2_IT_1_4_44__93_TI_I_10,,,,4__3___,4__3_____2_IT_1,4_44,4_44_,4_44_93
116,4_336230_45__94_I,20150709,4,336230,003,3,1,1,45,,94,10,TI,I,PALOS DE LA FRONTERA,28,079,MADRID,A,Calle de Palos de la Frontera N 33,20070419,20070421,,532.812252203822,24.99,4,93,287,,,4__3_____1_IT_1_4_45__94_TI_I_10,,,,4__3___,4__3_____1_IT_1,4_45,4_45_,4_45_94
117,4_336231_45__95_I,20150709,4,336231,003,3,2,1,45,,95,9,TI,I,PALOS DE LA FRONTERA,28,079,MADRID,A,Calle de Palos de la Frontera N 33,20070419,20070421,,772.840831891391,24.99,4,93,287,,,4__3_____2_IT_1_4_45__95_TI_I_9,,,,4__3___,4__3_____2_IT_1,4_45,4_45_,4_45_95
118,4_336230_46__96_I,20150709,4,336230,003,3,1,1,46,,96,11,TI,I,EMBAJADORES,28,079,MADRID,A,Gta de Embajadores N 10,20070419,20070421,,779.545767460873,24.99,4,92,10,,,4__3_____1_IT_1_4_46__96_TI_I_11,,,,4__3___,4__3_____1_IT_1,4_46,4_46_,4_46_96
119,4_336231_46__97_I,20150709,4,336231,003,3,2,1,46,,97,8,TI,I,EMBAJADORES,28,079,MADRID,A,Gta de Embajadores N 10,20070419,20070421,,460.11580961564,24.99,4,92,10,,,4__3_____2_IT_1_4_46__97_TI_I_8,,,,4__3___,4__3_____2_IT_1,4_46,4_46_,4_46_97
120,4_336230_48__100_I,20150709,4,336230,003,3,1,1,48,,100,13,TI,I,SOL,28,079,MADRID,A,Plaza de la Puerta del Sol N 6,20070419,20070421,,952.862648622358,24.99,4,90,58,,,4__3_____1_IT_1_4_48__100_TI_I_13,,,,4__3___,4__3_____1_IT_1,4_48,4_48_,4_48_100
121,4_336231_48__101_I,20150709,4,336231,003,3,2,1,48,,101,6,TI,I,SOL,28,079,MADRID,A,Plaza de la Puerta del Sol N 6,20070419,20070421,,450.649221475184,24.99,4,90,58,,,4__3_____2_IT_1_4_48__101_TI_I_6,,,,4__3___,4__3_____2_IT_1,4_48,4_48_,4_48_101
122,4_336230_49__102_I,20150709,4,336230,003,3,1,1,49,,102,14,TI,I,CALLAO,28,079,MADRID,A,Plaza del Callao N 3,20070419,20070421,,450.74735397638,24.99,4,91,62,,,4__3_____1_IT_1_4_49__102_TI_I_14,,,,4__3___,4__3_____1_IT_1,4_49,4_49_,4_49_102
123,4_336231_49__103_I,20150709,4,336231,003,3,2,1,49,,103,5,TI,I,CALLAO,28,079,MADRID,A,Plaza del Callao N 3,20070419,20070421,,567.048156411944,24.99,4,91,62,,,4__3_____2_IT_1_4_49__103_TI_I_5,,,,4__3___,4__3_____2_IT_1,4_49,4_49_,4_49_103
124,4_336230_51__106_I,20150709,4,336230,003,3,1,1,51,,106,16,TI,I,VENTURA RODRIGUEZ,28,079,MADRID,A,Calle de la Princesa N 22,20070419,20070421,,461.140040132393,24.99,4,93,369,,,4__3_____1_IT_1_4_51__106_TI_I_16,,,,4__3___,4__3_____1_IT_1,4_51,4_51_,4_51_106
125,4_336231_51__107_I,20150709,4,336231,003,3,2,1,51,,107,3,TI,I,VENTURA RODRIGUEZ,28,079,MADRID,A,Calle de la Princesa N 22,20070419,20070421,,459.936210904174,24.99,4,93,369,,,4__3_____2_IT_1_4_51__107_TI_I_3,,,,4__3___,4__3_____2_IT_1,4_51,4_51_,4_51_107
126,4_336230_43__90_I,20150709,4,336230,003,3,1,1,43,,90,8,TI,I,LEGAZPI,28,079,MADRID,A,Plaza de Legazpi N 2B,20070419,20070421,,1065.5137,24.99,4,92,11,,,4__3_____1_IT_1_4_43__90_TI_I_8,,,,4__3___,4__3_____1_IT_1,4_43,4_43_,4_43_90
127,4_336231_43__91_I,20150709,4,336231,003,3,2,1,43,,91,11,TI,I,LEGAZPI,28,079,MADRID,A,Plaza de Legazpi N 2B,20070419,20070421,,738.235711858957,24.99,4,92,11,,,4__3_____2_IT_1_4_43__91_TI_I_11,,,,4__3___,4__3_____2_IT_1,4_43,4_43_,4_43_91
128,4_336230_53__110_T,20150709,4,336230,003,3,1,1,53,,110,18,TI,T,MONCLOA,28,079,MADRID,A,Plaza de la Moncloa N 1,20070419,20070421,,632.8537,24.99,4,90,14,,,4__3_____1_IT_1_4_53__110_TI_T_18,,,,4__3___,4__3_____1_IT_1,4_53,4_53_,4_53_110
129,4_336193_54__113_C,20150709,4,336193,004,4,2,1,54,,113,23,TI,C,ARGÜELLES,28,079,MADRID,A,Calle de Alberto Aguilera N 72,20070410,20070411,,814.9617,22.42,4,92,68,,,4__4_____2_IT_1_4_54__113_TI_C_23,,,,4__4___,4__4_____2_IT_1,4_54,4_54_,4_54_113
130,4_336192_56__116_I,20150709,4,336192,004,4,1,1,56,,116,3,TI,I,BILBAO,28,079,MADRID,A,Calle de Sagasta N 5,20070410,20070411,,389.764444498609,22.42,4,93,160,,,4__4_____1_IT_1_4_56__116_TI_I_3,,,,4__4___,4__4_____1_IT_1,4_56,4_56_,4_56_116
131,4_336193_56__117_I,20150709,4,336193,004,4,2,1,56,,117,21,TI,I,BILBAO,28,079,MADRID,A,Calle de Sagasta N 5,20070410,20070411,,446.02,22.42,4,93,160,,,4__4_____2_IT_1_4_56__117_TI_I_21,,,,4__4___,4__4_____2_IT_1,4_56,4_56_,4_56_117
132,4_336192_57__118_I,20150709,4,336192,004,4,1,1,57,,118,4,TI,I,ALONSO MARTINEZ,28,079,MADRID,A,Plaza de Alonso Martínez N 4,20070410,20070411,,446.976218515561,22.42,4,92,133,,,4__4_____1_IT_1_4_57__118_TI_I_4,,,,4__4___,4__4_____1_IT_1,4_57,4_57_,4_57_118
133,4_336193_57__119_I,20150709,4,336193,004,4,2,1,57,,119,20,TI,I,ALONSO MARTINEZ,28,079,MADRID,A,Plaza de Alonso Martínez N 4,20070410,20070411,,368.236,22.42,4,92,133,,,4__4_____2_IT_1_4_57__119_TI_I_20,,,,4__4___,4__4_____2_IT_1,4_57,4_57_,4_57_119
134,4_336192_59__122_I,20150709,4,336192,004,4,1,1,59,,122,6,TI,I,SERRANO,28,079,MADRID,A,Calle de Goya N 19,20070410,20070411,,497.659,22.42,4,93,344,,,4__4_____1_IT_1_4_59__122_TI_I_6,,,,4__4___,4__4_____1_IT_1,4_59,4_59_,4_59_122
135,4_336193_59__123_I,20150709,4,336193,004,4,2,1,59,,123,18,TI,I,SERRANO,28,079,MADRID,A,Calle de Goya N 19,20070410,20070411,,362.515,22.42,4,93,344,,,4__4_____2_IT_1_4_59__123_TI_I_18,,,,4__4___,4__4_____2_IT_1,4_59,4_59_,4_59_123
136,4_344339_36__76_I,20150709,4,344339,002,2,1,1,36,,76,14,TI,I,OPERA,28,079,MADRID,A,Plaza de Isabel II N 9,20110311,20110316,,505.944,24.22,4,92,31,,,4__2_____1_IT_1_4_36__76_TI_I_14,,,,4__2___,4__2_____1_IT_1,4_36,4_36_,4_36_76
137,4_344340_36__77_I,20150709,4,344340,002,2,2,1,36,,77,7,TI,I,OPERA,28,079,MADRID,A,Plaza de Isabel II N 9,20110311,20110316,,429.916,24.22,4,92,31,,,4__2_____2_IT_1_4_36__77_TI_I_7,,,,4__2___,4__2_____2_IT_1,4_36,4_36_,4_36_77
138,4_336414_22__47_I,20150709,4,336414,001,1,1,1,22,,47,25,TI,I,BUENOS AIRES,28,079,MADRID,A,Avda de la Albufera N 179,20070516,20070516,,557.872010656952,22.96,4,93,50,,,4__1_____1_IT_1_4_22__47_TI_I_25,,,,4__1___,4__1_____1_IT_1,4_22,4_22_,4_22_47
139,4_336415_22__48_I,20150709,4,336415,001,1,2,1,22,,48,9,TI,I,BUENOS AIRES,28,079,MADRID,A,Avda de la Albufera N 179,20070516,20070516,,652.304820886954,22.96,4,93,50,,,4__1_____2_IT_1_4_22__48_TI_I_9,,,,4__1___,4__1_____2_IT_1,4_22,4_22_,4_22_48
140,4_336414_24__51_I,20150709,4,336414,001,1,1,1,24,,51,27,TI,I,MIGUEL HERNANDEZ,28,079,MADRID,A,Calle de León Felipe N 4A,20070516,20070516,,627.765533978312,22.96,4,93,274,,,4__1_____1_IT_1_4_24__51_TI_I_27,,,,4__1___,4__1_____1_IT_1,4_24,4_24_,4_24_51
141,4_336415_24__52_I,20150709,4,336415,001,1,2,1,24,,52,7,TI,I,MIGUEL HERNANDEZ,28,079,MADRID,A,Calle de León Felipe N 4A,20070516,20070516,,1343.05274455404,22.96,4,93,274,,,4__1_____2_IT_1_4_24__52_TI_I_7,,,,4__1___,4__1_____2_IT_1,4_24,4_24_,4_24_52
142,4_344339_38__80_I,20150709,4,344339,002,2,1,1,38,,80,16,TI,I,NOVICIADO,28,079,MADRID,A,Calle de San Bernardo N 49,20110311,20110316,,401.712,24.22,4,93,280,,,4__2_____1_IT_1_4_38__80_TI_I_16,,,,4__2___,4__2_____1_IT_1,4_38,4_38_,4_38_80
143,4_344340_38__81_I,20150709,4,344340,002,2,2,1,38,,81,5,TI,I,NOVICIADO,28,079,MADRID,A,Calle de San Bernardo N 49,20110311,20110316,,626.276,24.22,4,93,280,,,4__2_____2_IT_1_4_38__81_TI_I_5,,,,4__2___,4__2_____2_IT_1,4_38,4_38_,4_38_81
144,4_344339_39__82_I,20150709,4,344339,002,2,1,1,39,,82,17,TI,I,SAN BERNARDO,28,079,MADRID,A,Calle de San Bernardo N 94,20110311,20110316,,627.705,24.22,4,93,325,,,4__2_____1_IT_1_4_39__82_TI_I_17,,,,4__2___,4__2_____1_IT_1,4_39,4_39_,4_39_82
145,4_344340_39__83_I,20150709,4,344340,002,2,2,1,39,,83,4,TI,I,SAN BERNARDO,28,079,MADRID,A,Calle de San Bernardo N 94,20110311,20110316,,297.348,24.22,4,93,325,,,4__2_____2_IT_1_4_39__83_TI_I_4,,,,4__2___,4__2_____2_IT_1,4_39,4_39_,4_39_83
146,4_344339_41__86_I,20150709,4,344339,002,2,1,1,41,,86,19,TI,I,CANAL,28,079,MADRID,A,Calle de Bravo Murillo N 40,20110311,20110316,,706.852,24.22,4,93,163,,,4__2_____1_IT_1_4_41__86_TI_I_19,,,,4__2___,4__2_____1_IT_1,4_41,4_41_,4_41_86
147,4_344340_41__87_I,20150709,4,344340,002,2,2,1,41,,87,2,TI,I,CANAL,28,079,MADRID,A,Calle de Bravo Murillo N 40,20110311,20110316,,748.109,24.22,4,93,163,,,4__2_____2_IT_1_4_41__87_TI_I_2,,,,4__2___,4__2_____2_IT_1,4_41,4_41_,4_41_87
148,4_344339_28__60_I,20150709,4,344339,002,2,1,1,28,,60,6,TI,I,VENTAS,28,079,MADRID,A,Calle de Alcalá N 204,20110311,20110316,,1275.527,24.22,4,93,367,,,4__2_____1_IT_1_4_28__60_TI_I_6,,,,4__2___,4__2_____1_IT_1,4_28,4_28_,4_28_60
149,4_344340_28__61_I,20150709,4,344340,002,2,2,1,28,,61,15,TI,I,VENTAS,28,079,MADRID,A,Calle de Alcalá N 204,20110311,20110316,,628.374,24.22,4,93,367,,,4__2_____2_IT_1_4_28__61_TI_I_15,,,,4__2___,4__2_____2_IT_1,4_28,4_28_,4_28_61
150,4_344339_29__62_I,20150709,4,344339,002,2,1,1,29,,62,7,TI,I,MANUEL BECERRA,28,079,MADRID,A,Plaza de Manuel Becerra N 1,20110311,20110316,,627.83,24.22,4,91,41,,,4__2_____1_IT_1_4_29__62_TI_I_7,,,,4__2___,4__2_____1_IT_1,4_29,4_29_,4_29_62
151,4_344340_29__63_I,20150709,4,344340,002,2,2,1,29,,63,14,TI,I,MANUEL BECERRA,28,079,MADRID,A,Plaza de Manuel Becerra N 1,20110311,20110316,,629.646,24.22,4,91,41,,,4__2_____2_IT_1_4_29__63_TI_I_14,,,,4__2___,4__2_____2_IT_1,4_29,4_29_,4_29_63
152,4_344339_31__66_I,20150709,4,344339,002,2,1,1,31,,66,9,TI,I,PRINCIPE DE VERGARA,28,079,MADRID,A,Calle de Alcalá N 123,20110311,20110316,,407.951,24.22,4,93,301,,,4__2_____1_IT_1_4_31__66_TI_I_9,,,,4__2___,4__2_____1_IT_1,4_31,4_31_,4_31_66
153,4_344340_31__67_I,20150709,4,344340,002,2,2,1,31,,67,12,TI,I,PRINCIPE DE VERGARA,28,079,MADRID,A,Calle de Alcalá N 123,20110311,20110316,,542.249,24.22,4,93,301,,,4__2_____2_IT_1_4_31__67_TI_I_12,,,,4__2___,4__2_____2_IT_1,4_31,4_31_,4_31_67
154,4_344339_32__68_I,20150709,4,344339,002,2,1,1,32,,68,10,TI,I,RETIRO,28,079,MADRID,A,Calle de Alcalá N 81,20110311,20110316,,543.72,24.22,4,93,314,,,4__2_____1_IT_1_4_32__68_TI_I_10,,,,4__2___,4__2_____1_IT_1,4_32,4_32_,4_32_68
155,4_344340_32__69_I,20150709,4,344340,002,2,2,1,32,,69,11,TI,I,RETIRO,28,079,MADRID,A,Calle de Alcalá N 81,20110311,20110316,,747.165,24.22,4,93,314,,,4__2_____2_IT_1_4_32__69_TI_I_11,,,,4__2___,4__2_____2_IT_1,4_32,4_32_,4_32_69
156,4_344339_35__74_I,20150709,4,344339,002,2,1,1,35,,74,13,TI,I,SOL,28,079,MADRID,A,Plaza de la Puerta del Sol N 6,20110311,20110316,,339.782,24.22,4,90,58,,,4__2_____1_IT_1_4_35__74_TI_I_13,,,,4__2___,4__2_____1_IT_1,4_35,4_35_,4_35_74
157,4_344340_35__75_I,20150709,4,344340,002,2,2,1,35,,75,8,TI,I,SOL,28,079,MADRID,A,Plaza de la Puerta del Sol N 6,20110311,20110316,,501.307,24.22,4,90,58,,,4__2_____2_IT_1_4_35__75_TI_I_8,,,,4__2___,4__2_____2_IT_1,4_35,4_35_,4_35_75
158,4_283064_238__3_T,20150709,4,283064,ROP,R,1,1,238,,3,2,TI,T,PRINCIPE PIO,28,079,MADRID,A,Paseo de la Florida N 2,19990520,19941223,,994.453,19.001,4,90,18,,,4__R_____1_IT_1_4_238__3_TI_T_2,,,,4__R___,4__R_____1_IT_1,4_238,4_238_,4_238_3
